,,,
IN,"MPG, Institut für Biochemie, Martinsried, Bauteil IK",Am Klopferspitz 18,82152 Martinsried
IO,"LMU, Neubau  BioSysM, Haus K (Erweiterung Genzentrum)",Butenandtstr. 1,81377 München
IP,Zentrum für Prionforschung,Feodor-Lynen-Str. 27,81375 München
IQ,"IZB, Gründerzentrum Biotechnologie, Martinsried",Am Klopferspitz 19,82152 Planegg-Martinsried
IR,"LMU, Haus L,  Institut für Chemische Epigenetik München (ICEM)",Würmtalstraße 201,81375 München
IS,Wohnheim Sauerbruchstraße,"Sauerbruchstraße 59, 61 und Heiglhofstraße 44, 46",81377 München
IT,Wohnheim Heiglhofstraße,"Heiglhofstraße 64, 66",81377 München
IU,"LMU, Bauamt",Marchioninistr. 15a,81377 München
IV,Studentenbistro Martinsried,Großhaderner Straße 9a,82152 Planegg-Martinsried
IW,"TUM, Geb. 2801, Wassergüte",Marchioninistr. 17,81377 München
IZ,"LMU, Biomedizinisches Centrum (BMC)",Großhaderner Straße 9,82152 Planegg-Martinsried
J,Weihenstephan (inkl. Außenbezirke),,
J0,"TUM, Geb. 4321, TUM-Verwaltung (TBA)",Lange Point 24,85354 Freising
J1,"TUM, Geb. 4320, Heizhaus",Lange Point 24,85354 Freising
J2,"HSWT, Geb. H1 / 4391, Zentrum für Angewandte Brau- und Getränketechnologie (ZABG)",Am Staudengarten 13,85354 Freising
J3,"TUM, Geb. 4503, Versuchsgut Dürnast, Verwaltungsgebäude",Dürnast 1,85354 Freising
J4,"TUM, Geb. 4501, Versuchsgut Dürnast, Gutshof",Dürnast 1,85354 Freising
J5,"TUM, Geb. 4231, Versuchsgut Dürnast, LS Pflanzenernährung",Dürnast 1,85354 Freising
J6,"TUM, Geb. 4232, Versuchsgut Dürnast, GHL 3",Dürnast 1,85354 Freising
J7,"TUM, Geb. 4234,  Versuchsgut Dürnast, GHL 1",Dürnast 1,85354 Freising
J8,"TUM, Geb. 4235,  Versuchsgut Dürnast, GHL 2",Dürnast 1,85354 Freising
JA,"HSWT, Geb. 4199, Bioinformatik (C5)",Vöttinger Str. 27,85354 Freising
JB,"TUM, Geb. 4111, Versuchs- und Lehrbrauerei",Weihenstephaner Steig 18,85350 Freising
JC,"TUM, Geb. 4224, Biowissenschaft/Gentechnik",Gregor-Mendel-Str. 2,85350 Freising
JD,"TUM, Geb. 4225, Lebensmittelchemie u. Molekulare Sensorik",Lise-Meitner-Str. 34,85354 Freising
JE,Kinderkrippe Krabbelstube,Emil-Erlenmeyer-Forum 4,Freising
JF,"TUM, Geb. 4129/4132, Aquatische Systembiologie 'Mühle'",Mühlenweg 22,85354 Freising
JG,"HSWT, Versuchsgut Grünschwaige",Grünschwaige,85462 Eitting
JH,"TUM, Geb. 4275, Stallgebäude",An der Mühle 20,85354 Freising
JI,"IZB, Weihenstephan",Lise-Meitner-Straße 30,85354 Freising
JJ,"TUM, Geb. 4280, Servergebäude",,85354 Freising
JK,"TUM, Geb. 4384, Aufbereitungshalle für Gemüse",Am Staudengarten,85354 Freising
JL,"TUM, Geb. 4209, Landtechnik",Am Staudengarten 2,85354 Freising
JM,"TUM, Geb. 4211, Landtechnik",Vöttinger Str. 36,85354 Freising
JN,"TUM, Geb. 4521-4524,Versuchsstation Viehhausen",Viehhausen 4,85402 Kranzberg
