TUM, Geb. 0501 (Stammgelände)Arcisstraße 2180333 München;4125, Arbeitsraum/mit Besp.Grp.;apa10-4bb;Online seit 2022-03-02 01:38;Aruba -> AP-303H;Gesamt:     (020 - 3 - 3 - 6.20)eduroam:    (010 - 1 - 1 - 3.06)lrz:  (007 - 1 - 1 - 1.79)@BayernWLAN: (003 - 1 - 1 - 1.34)
TUM, Geb. 5219, VerwaltungsstelleWalther-Meißner-Str. 285748 Garching;01.950;apa01-1ao;Online seit 2022-02-03 15:38;Aruba -> AP-303H;Gesamt:     (006 - 4 - 3 - 3.07)eduroam:    (003 - 1 - 1 - 1.06)lrz:  (001 - 1 - 1 - 1.00)@BayernWLAN: (002 - 2 - 1 - 1.01)
LMU, Schackstr. 4Schackstr. 480539 München;310;apa03-3sc;Online seit 2021-12-28 23:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (006 - 3 - 3 - 3.23)eduroam:    (003 - 1 - 1 - 1.22)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.02)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, Neubau Bauabschnitt 1, Biologie II, MartinsriedGroßhaderner Str. 282152 Planegg-Martinsried;C01.054;apa10-1il;Online seit 2022-03-12 21:48;Alcatel-Lucent -> OAW-AP325;Gesamt:     (011 - 3 - 3 - 3.67)eduroam:    (007 - 1 - 1 - 1.54)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 1 - 1 - 1.13)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 5203, Bürogebäude (ehem. GRS)Walther-Meißner-Str. 185748 Garching;K73, Lager;apa01-kak;Online seit 2022-03-11 09:18;Aruba -> AP-303H;Gesamt:     (012 - 4 - 3 - 4.35)eduroam:    (006 - 2 - 1 - 1.99)lrz:  (002 - 1 - 1 - 1.09)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (004 - 1 - 1 - 1.26)
HMTM, Musikhochschule, HauptgebäudeArcisstr. 1280333 München;139;apa06-1fs;Online seit 2022-03-02 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (009 - 4 - 3 - 4.02)eduroam:    (005 - 2 - 1 - 1.90)lrz:  (002 - 1 - 1 - 1.02)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.10)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, Neubau Bauabschnitt 1, Biologie II, MartinsriedGroßhaderner Str. 282152 Planegg-Martinsried;C02.017;apa06-2il;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (016 - 3 - 3 - 5.65)eduroam:    (011 - 1 - 1 - 3.18)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (004 - 1 - 1 - 1.47)Sonstige:  (000 - 0 - 0 - 0.00)
HSWT, Geb. 4176, Lehrgebäude (A1)Weihenstephaner Fußweg85354 Freising;A1.408[CI:54686]?;apa03-1q7;Online seit 2022-01-18 08:18;Aruba -> AP-515;Gesamt:     (127 - 3 - 3 - 21.58)eduroam:    (094 - 1 - 1 - 16.12)lrz:  (003 - 1 - 1 - 1.20)@BayernWLAN: (030 - 1 - 1 - 4.26)
LMU, FCP-A, Genzentrum, Molekularbiologie und BiochemieFeodor-Lynen-Str. 2581375 München;A 4.43;apa05-4ia;Online seit 2022-03-12 21:48;Aruba -> AP-303H;Gesamt:     (011 - 3 - 3 - 4.52)eduroam:    (006 - 1 - 1 - 2.32)lrz:  (002 - 1 - 1 - 1.06)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 1 - 1 - 1.13)
TUM, Geb. 0503 (Stammgelände)Arcisstraße 2180333 München;2335;apa16-2bd;Online seit 2022-03-17 01:38;Aruba -> AP-303H;Gesamt:     (009 - 3 - 3 - 3.80)eduroam:    (005 - 1 - 1 - 1.61)lrz:  (001 - 1 - 1 - 1.00)@BayernWLAN: (003 - 1 - 1 - 1.18)
