Unterbezirkskürzel,Link,Name,Strasse,Ort
QZ,/apstat/filter/Unterbezirk/qz,"TUM, Geb. 4216, Mensa",Maximus-von-Imhof-Forum 5,85354 Freising
R,/apstat/filter/Unterbezirk/r,Hochschule München,,
RA,/apstat/filter/Unterbezirk/ra,"HM, Gebäude A",Lothstr. 34,80335 München
RB,/apstat/filter/Unterbezirk/rb,"HM, Gebäude B",Dachauerstr. 98b,80335 München
RC,/apstat/filter/Unterbezirk/rc,"HM, Gebäude C",Loristr. 19,80335 München
RD,/apstat/filter/Unterbezirk/rd,"HM, Gebäude D",Ferdinand Miller Platz,80335 München
RE,/apstat/filter/Unterbezirk/re,"HM, Gebäude E",Dachauerstr. 98b,80335 München
RF,/apstat/filter/Unterbezirk/rf,"HM, Gebäude F",Karlstr. 6,80333 München
RG,/apstat/filter/Unterbezirk/rg,"HM, Gebäude G",Lothstr. 34,80335 München
RH,/apstat/filter/Unterbezirk/rh,"HM, Gebäude H",Lothstr. 13d,80335 München
RI,/apstat/filter/Unterbezirk/ri,"HM, Erweiterungsbau Bibliothek",Lazarettstr. 62,80636 München
RK,/apstat/filter/Unterbezirk/rk,"HM, Gebäude K, Altbau",Am Stadtpark 20,81243 München
RL,/apstat/filter/Unterbezirk/rl,"HM, Gebäude L, Pasing, Neubau",Am Stadtpark 20,81243 München
RM,/apstat/filter/Unterbezirk/rm,"HM, Gebäude M",Infanteriestr. 14,80797 München
RN,/apstat/filter/Unterbezirk/rn,"HM, Gebäude N",Infanteriestr. 13,80797 München
RR,/apstat/filter/Unterbezirk/rr,"HM, Gebäude R1, R2, R3",Heßstraße 89 / Lothstr. 64,80335 München
RS,/apstat/filter/Unterbezirk/rs,"HM, Gebäude S",Schachenmeierstr. 35,80636 München
RT,/apstat/filter/Unterbezirk/rt,"HM, Gebäude T, Neubau",Dachauer Str. 100a,80335 München
RV,/apstat/filter/Unterbezirk/rv,Bayerisches Staatsinstitut für Hochschulforschung und Hochschulplanung (IHF),Lazarettstraße 67,80636 München
RW,/apstat/filter/Unterbezirk/rw,"HM, Gebäude W",Lothstr. 21,80335 München
RX,/apstat/filter/Unterbezirk/rx,"HM, Geb.2201/2202, Vorder und Rückgebäude",Lothstr. 17,80335 München
RY,/apstat/filter/Unterbezirk/ry,"HM, Gebäude Y",Clemensstr. 33,80803 München
RZ,/apstat/filter/Unterbezirk/rz,"HM, Gebäude Z, Kita Herzerl",Lazarettstr. 60/62,80803 München
S,/apstat/filter/Unterbezirk/s,"LMU, östlich Ludwigstr., nördlich Adalbertstr.",,
SA,/apstat/filter/Unterbezirk/sa,"LMU, Bauamt",Ludwigstr. 18,80539 München
SB,/apstat/filter/Unterbezirk/sb,Staatsbibliothek,Ludwigstr.16,80539 München
SC,/apstat/filter/Unterbezirk/sc,"LMU, Schackstr. 4",Schackstr. 4,80539 München
SD,/apstat/filter/Unterbezirk/sd,"LMU, Ludwigstr. 14",Ludwigstr. 14,80539 München
SE,/apstat/filter/Unterbezirk/se,"Hochschule für Philosophie (Medienethik, Philosophie und Leadership)",Kaulbachstraße 22a,80539 München
SF,/apstat/filter/Unterbezirk/sf,"LMU, Vestibülbau",Ludwigstr./Prof.-Huber-Pl. 2,80539 München
SG,/apstat/filter/Unterbezirk/sg,LMU Giselastraße 10,Giselastraße 10,80802 München
SH,/apstat/filter/Unterbezirk/sh,"LMU, Seestraße 13",Seestraße 13,80802 München
SI,/apstat/filter/Unterbezirk/si,"Wohnheim Kaulbachstraße, Marie-Antonie Haus",Kaulbachstraße 49,80539 München
SJ,/apstat/filter/Unterbezirk/sj,"LMU, Juristisches Seminargebäude",Prof-Huber-Platz 2,80539 München
SK,/apstat/filter/Unterbezirk/sk,"LMU, Geb. 0407, Rückgebäude",Ludwigstr. 28,80539 München
SL,/apstat/filter/Unterbezirk/sl,"LMU, Geb. 0410, Vordergebäude",Ludwigstr. 28,80539 München
SM,/apstat/filter/Unterbezirk/sm,LMU Martiusstr. 4,Martiusstr. 4,80802 München
SN,/apstat/filter/Unterbezirk/sn,Wohnheim Georgianum,Prof.-Huber-Pl. 1,80539 München
SO,/apstat/filter/Unterbezirk/so,"LMU, Ostasieninstitut",Kaulbachstr. 53,80539 München
SP,/apstat/filter/Unterbezirk/sp,Historisches Kolleg,Kaulbachstr. 15,80539 München
SQ,/apstat/filter/Unterbezirk/sq,"LMU, Kaulbachstr. 45",Kaulbachstr. 45,80539 München
SR,/apstat/filter/Unterbezirk/sr,SWH Newman-Haus,Kaulbachstr. 27-29,80539 München
ST,/apstat/filter/Unterbezirk/st,"LMU, (DAF, MCG) Schönfeldstr. 13",Schönfeldstr. 13,80539 München
SU,/apstat/filter/Unterbezirk/su,"LMU, Jura, Veterinärstr. 1",Veterinärstr. 1,80539 München
SV,/apstat/filter/Unterbezirk/sv,"LMU, Jura, Veterinärstr. 5",Veterinärstr. 5,80539 München
SW,/apstat/filter/Unterbezirk/sw,Johannes-Hanselmann-Haus,Kaulbachstr. 25,80539 München
SX,/apstat/filter/Unterbezirk/sx,Bayerische Staatsbibliothek,Kaulbachstr. 19,80539 München
SY,/apstat/filter/Unterbezirk/sy,"Hochschule für Philosophie, Institut für Gesellschaftspolitik",Kaulbachstr. 31,80539 München
T,/apstat/filter/Unterbezirk/t,"LMU, Innenstadtkliniken",,
TA,/apstat/filter/Unterbezirk/ta,"LMU, Augenklinik",Mathildenstraße 8,80336 München
TB,/apstat/filter/Unterbezirk/tb,"LMU, Zahnklinik",Goethestr. 68,80336 München
TC,/apstat/filter/Unterbezirk/tc,"LMU, Chirurgische Klinik",Nussbaumstraße 20,80336 München
TD,/apstat/filter/Unterbezirk/td,"LMU, Frauenlobstraße 7a",Frauenlobstraße 7a,80337 München
TE,/apstat/filter/Unterbezirk/te,"LMU, Schillerstr. 42-46",Schillerstr. 42-46,München
TF,/apstat/filter/Unterbezirk/tf,"LMU, Innenstadtkliniken, Bavariaring 19",Bavariaring 19,80336 München
TG,/apstat/filter/Unterbezirk/tg,"LMU, Gebäudekomplex Bereich Physiologie",Goethestr. 33,80336 München
TH,/apstat/filter/Unterbezirk/th,"LMU, Medizinische Lesehalle",Beethovenplatz 1,80336 München
TL,/apstat/filter/Unterbezirk/tl,"LMU, Gebäudekomplex Nervenklinik",Nußbaumstraße 7,80336 München
TM,/apstat/filter/Unterbezirk/tm,"LMU, Frauenklinik",Maistraße 11,80337 München
TP,/apstat/filter/Unterbezirk/tp,"LMU, Kreislaufprophylaxe + Bauamt",Pettenkoferstraße 9,80336 München
TQ,/apstat/filter/Unterbezirk/tq,"LMU, Theoretische Institute, Pettenkoferstraße 12",Pettenkoferstraße 12,80336 München
TR,/apstat/filter/Unterbezirk/tr,"LMU, Theoretische Institute, Pettenkoferstraße 14",Pettenkoferstraße 14,80336 München
TS,/apstat/filter/Unterbezirk/ts,"LMU, Rechtsmedizin",Nußbaumstraße 26,80336 München
TW,/apstat/filter/Unterbezirk/tw,"LMU Klinikum, Campus Innenstadt",Lindwurmstraße 2a,80337 München
TZ,/apstat/filter/Unterbezirk/tz,"LMU, Klinikum,  Ziemssenstraße 1",Ziemssenstraße 1,80336 München
U,/apstat/filter/Unterbezirk/u,Wissenschaftszentrum Straubing  (TUM+HSWT),,
U0,/apstat/filter/Unterbezirk/u0,"TUM, Geb 76B/76C, für Luftfahrt, Raumfahrt und Geodäsie, Ludwig-Bölkow-Campus",Willy-Messerschmidt-Str. 1,82024 Taufkirchen
U1,/apstat/filter/Unterbezirk/u1,"TUM, Algentechnikum, Geb. 78, Ludwig-Bölkow-Campus",Willy-Messerschmidt-Str. 1,85521 Ottobrunn
U2,/apstat/filter/Unterbezirk/u2,"TUM, Geb. 90B,  Lehrstuhl LCC, Ludwig-Bölkow-Campus",Willy-Messerschmidt-Str. 1,85521 Ottobrunn
U3,/apstat/filter/Unterbezirk/u3,"TUM, Geb. 91.12, Lehrstuhl LCC, Ludwig-Bölkow-Campus 	Lageplan",Willy-Messerschmidt-Str. 1,85521 Ottobrunn
U4,/apstat/filter/Unterbezirk/u4,"TUM, Geb. 9377,  Fakultät für Luftfahrt, Raumfahrt und Geodäsie","Lise-Meitner-Str. 9, 9a",85521 Ottobrunn
U5,/apstat/filter/Unterbezirk/u5,"TUM, Airbus Geb. 5.1",Robert-Koch-Straße 1,82024 Taufkirchen
U6,/apstat/filter/Unterbezirk/u6,"TUM, Geb. 9378, Fakultät für Luftfahrt, Raumfahrt und Geodäsie (Panasonic Gebäude)",Caroline-Herschel-Straße 100,85521 Ottobrunn
U7,/apstat/filter/Unterbezirk/u7,"TUM, Geb. 9379, LRG, 10.1A, 10.1B, 10.2",Lise-Meitner-Straße 8,85521 Ottobrunn
UA,/apstat/filter/Unterbezirk/ua,"TUM/WZS, Geb. 3501, Straubing Neubau CS",Schulgasse 16,94315 Straubing
UB,/apstat/filter/Unterbezirk/ub,"WZS, Kompetenzzentrum Nachwachsende Rohstoffe",Schulgasse 18,94315 Straubing
UC,/apstat/filter/Unterbezirk/uc,"TUM/WZS, Geb. 2927, Straubing Klostertrakte",Petersgasse 18,94315 Straubing
UD,/apstat/filter/Unterbezirk/ud,"TUM/WZS, Straubing Fraunhofer Institut Projektgruppe (IGB) BioCat",Schulgasse 11a,94315 Straubing
UE,/apstat/filter/Unterbezirk/ue,"TUM/WZS, Geb. 3502, ehemalige VHS",Schulgasse 22,94315 Straubing
UF,/apstat/filter/Unterbezirk/uf,"TUM/WZS, Geb. 3503, ehem. Jugendamt",Petersgasse 5,94315 Straubing
UG,/apstat/filter/Unterbezirk/ug,"TUM/WZS, Geb. 3515, Am Essigberg",Am Essigberg 3,94315 Straubing
UH,/apstat/filter/Unterbezirk/uh,"TUM/WZS, Geb. 3505, Hörsaal und Forschungsgebäude für nachhaltige Chemie",Uferstraße 53,94315 Straubing
UI,/apstat/filter/Unterbezirk/ui,"TUM/WZS, Geb. 3504, Interimsgebäude",Schulgasse 22 a,94315 Straubing
