Unterbezirkskürzel,Link,Name,Strasse,Ort
LQ,/apstat/filter/Unterbezirk/lq,Studentenwohnheim Deutsche Burse e.V.,Friedrichstraße 34,80801 München
LS,/apstat/filter/Unterbezirk/ls,"LMU, Geb. 0610",Leopoldstr. 15,80802 München
LT,/apstat/filter/Unterbezirk/lt,"LMU, Geb. 0620",Leopoldstr. 5,80802 München
LV,/apstat/filter/Unterbezirk/lv,"LMU, Geb. 0600",Leopoldstr. 3,80802 München
LW,/apstat/filter/Unterbezirk/lw,HMTM Musikhochschule Außenstelle Ballett-Akademie,Wilhelmstr. 17-19,80801 München
LZ,/apstat/filter/Unterbezirk/lz,Staatsbibliothek,Leopoldstraße 240,80807 München
M,/apstat/filter/Unterbezirk/m,Garchinger Hochschulgelände 3,,
M1,/apstat/filter/Unterbezirk/m1,"TUM, Geb. 5901, Fakultät Elektro- und Informationstechnik BA1",Hans-Piloty-Straße 1,85748 Garching
M2,/apstat/filter/Unterbezirk/m2,Siemens Technology Center Garching,Friedrich-Ludwig-Bauer-Str.,85748 Garching
M3,/apstat/filter/Unterbezirk/m3,"TUM, Geb. 5305, Naturwissenschaftliche Didaktik und Bauchchemie (NDB)",Lichtenbergstraße,85748 Garching
M6,/apstat/filter/Unterbezirk/m6,"TUM, Geb. 5143, Ver- und Entsorgungsstation Physik",Paula-Hahn-Weinheimer-Str. 2,85748 Garching
M7,/apstat/filter/Unterbezirk/m7,"TUM, Garching, Geb. 5142, Parkhaus 7, P7",Am Coulombwall 6,Garching
M8,/apstat/filter/Unterbezirk/m8,General Electric - Curie House,Freisinger Landstr. 50,85748 Garching
M9,/apstat/filter/Unterbezirk/m9,"TUM, Geb. 8104, Carl-Zeiss-Str. 8",Carl-Zeiss-Straße 8,85748 Garching
MA,/apstat/filter/Unterbezirk/ma,"TUM, Geb. 8111, Schleißheimer Str. 90A",Schleißheimer Str. 90A,85748 Garching
MB,/apstat/filter/Unterbezirk/mb,"TUM, Geb. 5414, Neubau Zentrum Energie und Information (ZEI)",Lichtenbergstraße 4a,85748 Garching
MC,/apstat/filter/Unterbezirk/mc,"TUM, Exzellenzcluster MIAPP (ehem. T1-Gebäude IPP)",Boltzmannstr. 2,85748 Garching
MD,/apstat/filter/Unterbezirk/md,"TUM, Geb. 5622 - Duschcontainer am Sportplatz",Boltzmannstraße 5,85748 Garching
ME,/apstat/filter/Unterbezirk/me,"TUM, Geb. 5530 - Exzellenzzentrum (vor Maschinenwesen)",Boltzmannstraße 17,85748 Garching
MF,/apstat/filter/Unterbezirk/mf,"TUM, Geb. 5410 - Forschungszentrum für Katalyse CRC (Katum)",Ernst-Otto-Fischer-Str. 1,85748 Garching
MG,/apstat/filter/Unterbezirk/mg,"Neubau Mensa Garching, Geb. 5304",Boltzmannstr. 19,85748 Garching
MH,/apstat/filter/Unterbezirk/mh,"TUM, Geb. 5620, TUM Hall Interims Audimax I",Boltzmannstraße 5,85748 Garching
MI,/apstat/filter/Unterbezirk/mi,Metall-Innung München-Freising-Erding,Lichtenbergstr. 10,Garching
MJ,/apstat/filter/Unterbezirk/mj,"TUM, Geb. 5519, Leichtbauhalle (bei Imetum)",Boltzmannstraße 15,85748 Garching
MK,/apstat/filter/Unterbezirk/mk,"Kinderhaus, Geb. 5531 (hinter Maschinenwesen)",Boltzmannstraße 15 re.,85748 Garching
ML,/apstat/filter/Unterbezirk/ml,"LMU, Laboratory for Extreme Photonics (LEX), Center for Advanced Laser Applications (CALA)",Am Coulombwall 1a,85748 Garching
MM,/apstat/filter/Unterbezirk/mm,"TUM, Geb. 5413 BNMR (Bavarian Nuclear Magnetic Resonanz) Zentrum",Ernst-Otto-Fischer-Straße 2,85748 Garching
MN,/apstat/filter/Unterbezirk/mn,"TUM, Geb. 5116, ZNN Zentrum für Nanotechnologie und Nanomaterialien",Am Coulombwall 4a,85748 Garching
MO,/apstat/filter/Unterbezirk/mo,"TUM, Garching, Geb. 5416, Interims Audimax II",Lichtenbergstraße 2b,85748 Garching
MP,/apstat/filter/Unterbezirk/mp,"TUM, Geb. 8102, Business Campus Garching II",Parkring 35-39,85748 Garching
MQ,/apstat/filter/Unterbezirk/mq,"TUM, Geb. 5415, Center for Protein Assemblies (CPA)",Ernst-Otto-Fischer-Str.,85748 Garching
MR,/apstat/filter/Unterbezirk/mr,"TUM, Geb. 5128, Zentrum für Quantum Engineering (ZQE)",Am Coulombwall,85748 Garching
MS,/apstat/filter/Unterbezirk/ms,"TUM, Geb. 5515, Zentrum für Softskills",Boltzmannstr. 15,85748 Garching
MT,/apstat/filter/Unterbezirk/mt,UnternehmerTUM Neubau + ECM  Geb. 5433,Lichtenbergstraße 6 (neben GATE),85748 Garching
MU,/apstat/filter/Unterbezirk/mu,"TUM, Physik Untergrundlabor",James-Franck-Str. 1,85748 Garching
MV,/apstat/filter/Unterbezirk/mv,"TUM, Garching, Geb. 5532, StudiTUM",Lichtenbergstraße 3,Garching
MW,/apstat/filter/Unterbezirk/mw,"TUM, Geb. 5250, RCM-Flachbau",Walther-Meißner-Straße 3,85748 Garching
MX,/apstat/filter/Unterbezirk/mx,SAP Campus West,,Garching
MZ,/apstat/filter/Unterbezirk/mz,"TUM, Geb. 5998, Tentomax Garching EI (Prüfungszelt)",Hans-Piloty-Str. 5,85748 Garching
N,/apstat/filter/Unterbezirk/n,"LMU, Tierärztliche Fakultät und Nano Institut, Schwabing",,
NA,/apstat/filter/Unterbezirk/na,"LMU, Geb. C (früher 0802), Anatomie",Veterinärstraße 13,80539 München
NB,/apstat/filter/Unterbezirk/nb,"LMU, Geb. J (früher 0828), Chirurgie der Schweine",Königinstr.18,80539 München
NC,/apstat/filter/Unterbezirk/nc,"LMU, Geb. G (früher 0824), Chirurgie",Königinstr. 14,80539 München
ND,/apstat/filter/Unterbezirk/nd,"LMU, Geb. N (früher 0825), Chirurgie",Königinstr. 14,80539 München
NF,/apstat/filter/Unterbezirk/nf,"LMU, Geb. P (früher 0823), Gynäkologie",Königinstr. 12,80539 München
NG,/apstat/filter/Unterbezirk/ng,"LMU, Geb. E/F (früher 0820/0822) , Gynäkologie",Königinstr. 12,80539 München
NH,/apstat/filter/Unterbezirk/nh,"LMU, Geb. R (früher 0840), Hygiene",Veterinärstraße 13,80539 München
NK,/apstat/filter/Unterbezirk/nk,"LMU, Geb. 0310, Zoologie Fischkrankheiten",Kaulbachstr. 37,80539 München
NL,/apstat/filter/Unterbezirk/nl,"LMU, Geb. L (früher 0827) Pharmazie",Königinstr.16,80539 München
NM,/apstat/filter/Unterbezirk/nm,"LMU, Geb. S (früher 0850), Mikrobiologie+Pathologie",Veterinärstraße 13,80539 München
NN,/apstat/filter/Unterbezirk/nn,"LMU, Geb. T (früher 0851), Mikrobiologie",Veterinärstraße 13,80539 München
NO,/apstat/filter/Unterbezirk/no,"LMU, Geb. Q (früher 0835), Rechnerbetriebsgruppe",Königinstr. 16,80539 München
NP,/apstat/filter/Unterbezirk/np,"LMU, Geb. H (früher 0826), Pharmazie",Königinstr. 16,80539 München
NQ,/apstat/filter/Unterbezirk/nq,"LMU, Geb. K (früher 0830), Pharmazie",Königinstr. 16,80539 München
NS,/apstat/filter/Unterbezirk/ns,"LMU, Geb. V (früher 0860), Stallung",Veterinärstr. 13,80539 München
NT,/apstat/filter/Unterbezirk/nt,"LMU, Geb. B (früher 0801), Tierzucht",Königinstr. 8,80539 München
NY,/apstat/filter/Unterbezirk/ny,"LMU, Geb. A (früher 0800), Physiologie",Veterinärstr. 13,80539 München
NZ,/apstat/filter/Unterbezirk/nz,"LMU, Neubau Nano-Institut",Königinstr. 10,80539 München
O,/apstat/filter/Unterbezirk/o,"LMU, Oettingenstraße 67",,
OE,/apstat/filter/Unterbezirk/oe,"LMU, Gebäudeteil F (früher E)",Oettingenstraße 67,80538 München
OG,/apstat/filter/Unterbezirk/og,"LMU, Gebäudeteil H (früher G)",Oettingenstraße 67,80538 München
OK,/apstat/filter/Unterbezirk/ok,"LMU, Baracke auf Parkplatz",Oettingenstraße 67,80538 München
OZ,/apstat/filter/Unterbezirk/oz,"LMU Oettingenstr. 67, Hauptgebäude",Oettingenstraße 67,80538 München
P,/apstat/filter/Unterbezirk/p,Campus Weihenstephan 1,,
P0,/apstat/filter/Unterbezirk/p0,Wohnheim Giggenhauserstraße (Weihenstephan II),Giggenhauser Str. 25,85354 Freising
P1,/apstat/filter/Unterbezirk/p1,Wohnheim Giggenhauserstraße (Weihenstephan IV),Giggenhauser Straße 27-33,85354 Freising
P2,/apstat/filter/Unterbezirk/p2,"TUM, Geb. 4323, Kfz-Mechanikwerkstatt",Lange Point 24,85354 Freising
P3,/apstat/filter/Unterbezirk/p3,"FHG/IVV, Fraunhofer Gesellschaft",Giggenhauser Str. 35,85354 Freising
P4,/apstat/filter/Unterbezirk/p4,"TUM, Geb. 4218, Zierpflanzenbau, Botanik, Mikrobiologie",Emil-Ramann-Str. 4,85354 Freising
P5,/apstat/filter/Unterbezirk/p5,"TUM, Geb. 4153, Teilverwaltung TUM (früheres Verwaltungsgebäude der Molkerei)",Weihenstephaner Berg 13,85354 Freising
P6,/apstat/filter/Unterbezirk/p6,"TUM, Geb. 4307, Tierernährung Versuchsanlage",Liesel-Beckmann-Straße 6,85354 Freising
P7,/apstat/filter/Unterbezirk/p7,Bayerische Staatsbrauerei Weihenstephan,Alte Akademie 2,85354 Freising
P8,/apstat/filter/Unterbezirk/p8,SWH Vöttinger Straße (Weihenstephan I),Vöttinger Str. 49,85354 Freising
P9,/apstat/filter/Unterbezirk/p9,"TUM, Geb. 4317, Neubau Tierwissenschaften",Liesel-Beckmann-Straße  1,85354 Freising
PA,/apstat/filter/Unterbezirk/pa,"TUM, Geb. 4378, Heizhaus",Am Staudenkarten 10,85354 Freising
PB,/apstat/filter/Unterbezirk/pb,"HSWT, Geb. 4375, SVA Lehrstuhl für Bodenkunde und Pflanzen",Am Staudengarten 14,85354 Freising
PC,/apstat/filter/Unterbezirk/pc,"HSWT, Geb. 4376, SVA Lehrstuhl für Obstbau und Baumschulung",Am Staudengarten 12,85354 Freising
PD,/apstat/filter/Unterbezirk/pd,"TUM, Geb. XXX, Forschungszentrums für integrierte Infektionsprävention (ZIP)",Liesel-Beckmann-Straße XX,85354 Freising
PE,/apstat/filter/Unterbezirk/pe,"HSWT, Geb. 4383, Fachbereich Gartenbau, Technische Landwirtschaft",Lange Point 2,85354 Freising
PF,/apstat/filter/Unterbezirk/pf,"HSWT, Geb. 4379, SVA Lehrstuhl für Zierpflanzenbau",Am Staudengarten 8,85354 Freising
PG,/apstat/filter/Unterbezirk/pg,"TUM, Geb. 4213, Lebensmitteltechnikum",Maximus-von-Imhof-Forum 2,85354 Freising
PH,/apstat/filter/Unterbezirk/ph,"HSWT, Geb. 4372, Hörsäle L - P, Staatliche Versuchsanstalt, Lehrstuhl für Obstverwertung",Am Staudengarten 11,85354 Freising
PI,/apstat/filter/Unterbezirk/pi,"TUM, Geb. 4306, Tierernährung - Hauptgebäude",Liesel-Beckmann-Straße  6,85354 Freising
PJ,/apstat/filter/Unterbezirk/pj,"HSWT, Geb. 4373, Hörsäle Lange Point, SVA Info-Stelle",Am Staudengarten 9,85354 Freising
PK,/apstat/filter/Unterbezirk/pk,"HSWT, Geb. 4374, Hörsaal L-P, SVA Institut für Gemüsebau, Stauden und Gehölze",Am Staudengarten 7,85354 Freising
PL,/apstat/filter/Unterbezirk/pl,"HSWT, Geb. 4386, Blumenschule",Am Staudengarten 6,85354 Freising
PM,/apstat/filter/Unterbezirk/pm,"TUM, Geb. 4304, Pflanzenbau",Lange Point 51,85354 Freising
PN,/apstat/filter/Unterbezirk/pn,"HSWT, Geb. 4377",Am Staudengarten 10,85354 Freising
PO,/apstat/filter/Unterbezirk/po,"TUM, Geb. 4308, Tierernährung-Institutsgebäude",Liesel-Beckmann-Straße 4/Steinbreite,85350 Freising
PP,/apstat/filter/Unterbezirk/pp,"TUM, Geb. 4309, Wirtschaftslehre des Gartenbaus",Blumenstr. 16,85354 Freising
PQ,/apstat/filter/Unterbezirk/pq,"TUM, Geb. 4313, Zierpflanzenbau",Blumenstr. 12,85354 Freising
PR,/apstat/filter/Unterbezirk/pr,"HSWT, Geb. 4179 (C4), Pappelallee",Weihenstephaner Berg 5,85354 Freising
PS,/apstat/filter/Unterbezirk/ps,"TUM, Geb. 4311, Zierpflanzenbau",Blumenstr. 16,85354 Freising
PT,/apstat/filter/Unterbezirk/pt,"TUM, Geb. 4108",Alte Akademie 10,85354 Freising
PU,/apstat/filter/Unterbezirk/pu,HSWT Geb. 4123 (von HSWT freigegeben),Weihenstephaner Berg 4,
PV,/apstat/filter/Unterbezirk/pv,"HSWT, Geb. 4171, Alte Baumschule (A10)",Weihenstephaner Fußweg 17,85354 Freising
PW,/apstat/filter/Unterbezirk/pw,"HSWT, Geb. 4173, Institutsgebäude (A4)",Weihenstephaner Fußweg 1,85354 Freising
PX,/apstat/filter/Unterbezirk/px,"HSWT, Geb. 4174, Bibliothek (A8)",Weihenstephaner Fußweg 1,85354 Freising
PY,/apstat/filter/Unterbezirk/py,Wohnheim Lange Point (Weihenstephan III),Lange Point 1-35,85354 Freising
PZ,/apstat/filter/Unterbezirk/pz,"TUM, Geb. 4223, Anbau an Geb. 4219, Genetik",Emil-Ramann-Str. 8,85350 Freising
Q,/apstat/filter/Unterbezirk/q,Campus  Weihenstephan 2,,
Q0,/apstat/filter/Unterbezirk/q0,"TUM, Geb. 4219, Landpflege und Botanik",Emil-Ramann-Str. 6,85354 Freising
Q1,/apstat/filter/Unterbezirk/q1,"TUM, Geb. 4221, Telefonzentrale",Emil-Erlenmeyer-Forum 7,85354 Freising
Q2,/apstat/filter/Unterbezirk/q2,"TUM, Geb. 4277, Forstwissenschaft, FVA - Forstwissenschaftliche Versuchsanstalt",Hans-Carl-von-Carlowitz-Platz 2,85354 Freising
Q3,/apstat/filter/Unterbezirk/q3,"TUM, Geb. 4238, Werksfeuerwehr",Emil-Erlenmeyer-Forum 2,85354 Freising
Q4,/apstat/filter/Unterbezirk/q4,"TUM, Geb. 4106, Wirtschaftslehre des Landbaus",Alte Akademie 14,85354 Freising
Q5,/apstat/filter/Unterbezirk/q5,"TUM, Geb. 4107, Ernährungslehre",Alte Akademie 16,85354 Freising
Q6,/apstat/filter/Unterbezirk/q6,"Dienstleister / Eltern-Kind, Geb. 4254",Emil-Erlenmeyer-Forum 6,85354 Freising
Q7,/apstat/filter/Unterbezirk/q7,"HSWT, Geb. 4176, Lehrgebäude (A1)",Weihenstephaner Fußweg,85354 Freising
Q8,/apstat/filter/Unterbezirk/q8,"TUM, Geb. 4212, Physik, Chemie, Zentrallaboratorium",Emil-Erlenmeyer-Forum 5,85354 Freising
Q9,/apstat/filter/Unterbezirk/q9,"HSWT, Geb. 4125, Löwentorgebäude (A3)",Weihenstephaner Fußweg,85354 Freising
QA,/apstat/filter/Unterbezirk/qa,"TUM, Geb. 4124, FML neu - Zentrum für Milch- und Lebensmittel",Weihenstephaner Berg 3,85354 Freising
QB,/apstat/filter/Unterbezirk/qb,"TUM, Geb. 4130, ehemalige Datenverarbeitung",Weihenstephaner Berg,85354 Freising
QC,/apstat/filter/Unterbezirk/qc,"TUM, Geb. 4117, Grünlandlehre",Weihenstephaner Steig 19b,85354 Freising
QD,/apstat/filter/Unterbezirk/qd,"TUM, Geb. 4109, Studierendenservice, LS f. Lebensmittelverpackungstechnik",Weihenstephaner Steig 22,85354 Freising
QE,/apstat/filter/Unterbezirk/qe,"TUM, Geb. 4101",Alte Akademie 3,85354 Freising
QF,/apstat/filter/Unterbezirk/qf,"HSWT, Geb. 4172, Stammgebäude (A5), Verwaltung (A6) und Salettl (A7)",Weihenstephaner Fußweg 1,85354 Freising
QG,/apstat/filter/Unterbezirk/qg,"TUM, Geb. 4102, Bibliothek und Dekanatsgebäude",Alte Akademie 8,85354 Freising
QH,/apstat/filter/Unterbezirk/qh,"TUM, Geb. 4105, Ökologischer Landbau, Grünlandlehre",Alte Akademie 12,85354 Freising
QI,/apstat/filter/Unterbezirk/qi,"TUM, Geb. 4214, Zentrales Hörsaalgebäude",Maximus-von-Imhof-Forum 6,85354 Freising
QJ,/apstat/filter/Unterbezirk/qj,"HSWT, Geb. 4276, Wald und Forstwirtschaft",Hans-Carl-von-Carlowitz-Platz 3,85354 Freising
QK,/apstat/filter/Unterbezirk/qk,"TUM, Geb. 4210  Landtechnik",Am Staudengarten 2,85354 Freising
QL,/apstat/filter/Unterbezirk/ql,"TUM, Geb. 4215, Zentrales Praktikagebäude",Maximus-von-Imhof-Forum 4,85354 Freising
QM,/apstat/filter/Unterbezirk/qm,"TUM, Geb. 4110, Brauerei I",Weihenstephaner Steig 20,85354 Freising
QN,/apstat/filter/Unterbezirk/qn,"TUM, Geb. 4119 / 4120",Hohenbachernstr.   15 und 17,85354 Freising
QO,/apstat/filter/Unterbezirk/qo,"TUM, Geb. 4126, Lebensmittelverfahrenstechnik",Weihenstephaner Berg 1,85354 Freising
QP,/apstat/filter/Unterbezirk/qp,"TUM, Geb. 4114, Betriebshof",Weihenstephaner Steig 14,85354 Freising
QQ,/apstat/filter/Unterbezirk/qq,"TUM, Geb. 4115, Senger - Wohnhaus",Weihenstephaner Steig 19,85354 Freising
QR,/apstat/filter/Unterbezirk/qr,"HSWT, Geb. 4178, Kleine Kustermannhalle (A9)",Am Hofgarten 4,85354 Freising
QS,/apstat/filter/Unterbezirk/qs,"TUM, Geb. 4226, Internationales Getränkewissenschaftliches Zentrum (iGZW)",Gregor-Mendel-Str. 4,85354 Freising
QT,/apstat/filter/Unterbezirk/qt,"TUM, Geb. 4217, Bodenkunde",Emil-Ramann-Str. 2,85354 Freising
QU,/apstat/filter/Unterbezirk/qu,"TUM, Geb. 4113, StudiTUM Weihenstephan (ehemalige Schnapsbrennerei)",Weihenstephaner Steig 16,85354 Freising
QV,/apstat/filter/Unterbezirk/qv,"TUM, Geb. 4116, Kinderkrippe ""Kindervilla""",Weihenstephaner Steig 17,85354 Freising
QW,/apstat/filter/Unterbezirk/qw,"TUM/HSWT Weihenstephan, Geb. 4281, Zentrum für Naturwissenschaftliche Grundlagen, Geb. D1",Am Staudengarten 1,85354 Freising
QX,/apstat/filter/Unterbezirk/qx,"TUM, Server Gebäuder WZW (Neubau)",Gregor-Mendel-Straße,85354 Freising
QY,/apstat/filter/Unterbezirk/qy,"TUM, Geb. 4220, Bibliothek Neubau",Maximus-von-Imhof-Forum 3,85354 Freising
