apa06-1uc,-9223372036854775808,-9223372036854775808
apa04-2u4,21,3
apa01-0jd,-9223372036854775808,-9223372036854775808
apa01-1qk,-9223372036854775808,-9223372036854775808
apa05-3b8,-9223372036854775808,-9223372036854775808
apa22-0m1,10,3
apa02-2uf,57,3
apa22-1ez,37,3
apa03-1a1,5,3
apa24-1at,23,4
apa01-5ag,-9223372036854775808,-9223372036854775808
apa01-3jb,-9223372036854775808,-9223372036854775808
apa02-0xa,-9223372036854775808,-9223372036854775808
apa03-2bc,-9223372036854775808,-9223372036854775808
apa02-3bt,-9223372036854775808,-9223372036854775808
apa01-0j7,-9223372036854775808,-9223372036854775808
apa03-3bt,46,3
apa05-2qs,-9223372036854775808,-9223372036854775808
apa20-1at,-9223372036854775808,-9223372036854775808
apa03-3mp,-9223372036854775808,-9223372036854775808
apa03-3wq,7,3
apa01-0at,-9223372036854775808,-9223372036854775808
apa02-kb3,-9223372036854775808,-9223372036854775808
apa12-2bb,-9223372036854775808,-9223372036854775808
apa01-kbi,-9223372036854775808,-9223372036854775808
apa08-4b4,19,3
apa02-1zm,-9223372036854775808,-9223372036854775808
apa01-1fz,-9223372036854775808,-9223372036854775808
apa17-3mf,-9223372036854775808,-9223372036854775808
apa02-1a1,-9223372036854775808,-9223372036854775808
apa02-1qe,-9223372036854775808,-9223372036854775808
apa04-2ug,-9223372036854775808,-9223372036854775808
apa01-2u4,12,3
apa04-0qy,-9223372036854775808,-9223372036854775808
apa08-1u4,9,3
apa17-1at,-9223372036854775808,-9223372036854775808
apa06-0j6,-9223372036854775808,-9223372036854775808
apa02-3b5,-9223372036854775808,-9223372036854775808
apa04-1ed,-9223372036854775808,-9223372036854775808
apa03-4mf,-9223372036854775808,-9223372036854775808
apa06-2w4,-9223372036854775808,-9223372036854775808
apa03-2uf,26,3
apa02-1ua,-9223372036854775808,-9223372036854775808
apa01-1mp,-9223372036854775808,-9223372036854775808
apa01-kbn,-9223372036854775808,-9223372036854775808
apa04-3b5,-9223372036854775808,-9223372036854775808
apa02-0ax,-9223372036854775808,-9223372036854775808
apa10-0w2,-9223372036854775808,-9223372036854775808
apa14-1mq,19,3
apa13-0jo,-9223372036854775808,-9223372036854775808
apa03-2b6,-9223372036854775808,-9223372036854775808
apa06-0qi,-9223372036854775808,-9223372036854775808
apa06-3bb,-9223372036854775808,-9223372036854775808
apa05-2mf,-9223372036854775808,-9223372036854775808
apa02-2mb,-9223372036854775808,-9223372036854775808
apa01-2mq,7,3
apa09-kbm,-9223372036854775808,-9223372036854775808
apa36-0ez,8,3
apa02-1u4,11,3
apa06-1wq,-9223372036854775808,-9223372036854775808
apa07-kbb,-9223372036854775808,-9223372036854775808
apa21-3at,-9223372036854775808,-9223372036854775808
apa22-1at,71,3
apa04-1bb,-9223372036854775808,-9223372036854775808
apa10-1bm,-9223372036854775808,-9223372036854775808
apa05-0w1,-9223372036854775808,-9223372036854775808
apa05-1ed,-9223372036854775808,-9223372036854775808
apa06-1z2,-9223372036854775808,-9223372036854775808
apa06-0mm,7,4
apa03-1uf,6,3
apa01-kaw,-9223372036854775808,-9223372036854775808
apa09-2mq,8,3
apa05-1q0,-9223372036854775808,-9223372036854775808
apa11-1w5,-9223372036854775808,-9223372036854775808
apa03-1jo,13,3
apa05-0uc,-9223372036854775808,-9223372036854775808
apa01-1mn,-9223372036854775808,-9223372036854775808
apa02-2w5,-9223372036854775808,-9223372036854775808
apa20-1qw,-9223372036854775808,-9223372036854775808
apa01-0q8,-9223372036854775808,-9223372036854775808
apa01-2j8,8,3
apa29-2at,-9223372036854775808,-9223372036854775808
apa07-1yu,-9223372036854775808,-9223372036854775808
apa03-kql,-9223372036854775808,-9223372036854775808
apa04-1w3,-9223372036854775808,-9223372036854775808
apa15-3mq,11,3
apa02-1mp,-9223372036854775808,-9223372036854775808
apa08-0aj,-9223372036854775808,-9223372036854775808
apa11-2mf,-9223372036854775808,-9223372036854775808
apa16-0mq,27,3
apa03-1z2,-9223372036854775808,-9223372036854775808
apa04-0bf,-9223372036854775808,-9223372036854775808
apa03-kw3,4,3
apa08-0xc,-9223372036854775808,-9223372036854775808
apa03-5ac,-9223372036854775808,-9223372036854775808
apa06-3mf,-9223372036854775808,-9223372036854775808
apa19-0jo,-9223372036854775808,-9223372036854775808
apa09-0u4,23,3
apa14-0zm,-9223372036854775808,-9223372036854775808
apa04-0ql,-9223372036854775808,-9223372036854775808
apa01-0pz,-9223372036854775808,-9223372036854775808
apa13-4mf,-9223372036854775808,-9223372036854775808
apa29-1ez,9,3
apa01-3ac,21,3
apa02-1qu,39,3
apa23-1ez,10,3
apa08-0b1,-9223372036854775808,-9223372036854775808
apa03-2qu,17,3
apa14-2m1,-9223372036854775808,-9223372036854775808
apa09-0jo,-9223372036854775808,-9223372036854775808
apa07-2w4,-9223372036854775808,-9223372036854775808
apa02-4ed,-9223372036854775808,-9223372036854775808
apa03-1at,-9223372036854775808,-9223372036854775808
apa01-3bb,-9223372036854775808,-9223372036854775808
