apa08-0w3,2,2
apa04-0qt,1,1
apa04-0a8,4,3
apa16-3mq,1,1
apa05-2af,1,1
apa20-0w0,1,1
apa04-3mp,1,1
apa05-6ad,1,1
apa06-kbh,0,0
apa02-0pz,2,2
apa05-0mq,2,2
apa09-6ad,1,1
apa06-1bm,0,0
apa09-2u4,1,1
apa03-1zb,0,0
apa12-0zm,0,0
apa02-2bb,31,3
apa01-1bd,0,0
apa04-2ad,3,3
apa06-1ue,2,1
apa05-3mf,2,1
apa06-0w2,6,3
apa03-6ed,0,0
apa05-2u4,1,1
apa01-2w4,0,0
apa02-0aj,1,1
apa01-0wq,3,3
apa08-1bd,9,3
apa05-0mp,0,0
apa03-0qy,4,2
apa07-3bb,4,2
apa14-1wo,2,2
apa08-3mf,1,1
apa03-0yq,4,2
apa07-2w1,3,2
apa01-1fl,0,0
apa04-0m1,0,0
apa08-1yu,39,3
apa10-2qw,1,1
apa19-1mt,1,1
apa03-0mm,2,1
apa07-2w4,0,0
apa13-0yo,5,3
apa37-0ez,0,0
apa12-0m1,0,0
apa21-kbb,0,0
apa09-1b1,10,3
apa01-1b4,3,2
apa03-2mb,1,1
apa07-3ah,0,0
apa02-2fd,1,1
apa02-2w7,0,0
apa04-1b8,0,0
apa02-0qo,9,3
apa04-1ue,3,3
apa03-0bf,8,3
apa21-0m1,0,0
apa01-1p2,0,0
apa34-1ez,0,0
apa24-2at,4,1
apa09-1w6,12,4
apa01-0uf,0,0
apa09-3bf,2,1
apa03-0b3,0,0
apa03-2uh,2,1
apa09-1wo,3,2
apa03-kb3,0,0
apa11-2at,0,0
apa01-6b3,0,0
apa15-1wo,1,1
apa18-3mf,0,0
apa07-0qu,1,1
apa08-2zb,0,0
apa06-1w1,0,0
apa06-0qi,0,0
apa05-3b8,4,3
apa01-2ac,0,0
apa04-3bm,2,1
apa01-2uf,8,3
apa06-3bb,11,2
apa02-2at,1,1
apa06-2be,5,3
apa04-3b5,7,2
apa06-1ed,0,0
apa22-0m1,0,0
apa08-1aq,1,1
apa03-3m1,0,0
apa04-1wo,0,0
apa02-2b6,4,3
apa01-1uf,0,0
apa02-1uf,1,1
apa04-2xa,5,3
apa04-3ac,0,0
apa01-1zy,2,2
apa01-0af,3,2
apa16-1wo,1,1
apa05-0uc,1,1
apa05-kql,2,2
apa17-1at,3,1
apa01-0qg,3,3
apa11-2w0,0,0
apa01-1mn,0,0
apa03-2b6,5,3
apa05-kqw,1,1
apa02-2qu,5,3
apa01-1qk,7,3
apa07-1yu,1,1
apa01-3fa,12,4
apa03-0q0,3,1
apa02-kw3,0,0
apa01-1bc,11,3
apa13-0q2,0,0
apa01-0bn,17,3
apa01-0jd,3,2
apa01-0pz,2,1
apa05-0bg,1,1
apa06-4ag,2,1
apa08-0b1,10,3
apa02-0b3,19,3
apa17-2mt,0,0
apa01-kbw,2,2
apa04-0u6,0,0
apa01-0bh,8,3
apa01-0j7,22,3
apa18-1ez,3,3
apa07-0mp,0,0
apa01-1x6,13,3
apa01-0p2,0,0
apa12-2zb,1,1
apa02-1ua,2,2
apa01-0at,0,0
apa19-3m1,0,0
apa16-0ez,0,0
apa04-1be,5,3
apa06-0w3,7,4
apa03-3bm,0,0
apa14-0yo,1,1
apa02-3fd,3,2
apa14-3m1,0,0
apa08-2bm,3,2
apa05-3wq,0,0
apa03-0wq,1,1
apa04-2mq,0,0
apa15-2bd,1,1
apa07-1m1,0,0
apa02-0qu,2,2
apa02-2aq,5,3
apa09-0yo,0,0
apa09-0mz,0,0
apa01-1zm,4,3
apa08-1bb,54,3
apa04-0x6,54,3
apa07-0w4,7,4
apa01-2qd,4,2
apa11-2mf,1,1
apa04-2m1,1,1
apa04-2af,2,2
apa01-3jo,1,1
apa09-kbm,0,0
apa01-1yo,0,0
apa04-0w6,4,3
apa07-3w1,1,1
apa01-0b1,1,1
apa02-2uf,1,1
apa05-3w5,1,1
apa01-0mv,7,2
apa16-0bb,3,3
apa14-2bd,8,3
apa11-0yo,0,0
apa03-0uf,0,0
apa02-2ez,0,0
apa21-3at,0,0
apa03-0ws,0,0
apa01-2qs,0,0
apa24-1at,6,3
apa01-0x6,17,3
apa03-zb1,7,2
apa01-kzy,2,1
apa07-1aq,1,1
apa13-1mq,2,2
apa04-2u4,2,1
apa22-1ez,0,0
apa02-2ag,1,1
apa04-0ao,0,0
apa04-4w0,0,0
apa05-2ac,0,0
apa01-1jb,8,2
apa05-0ez,0,0
apa03-1a1,1,1
apa03-0ez,0,0
apa05-1ed,1,1
apa02-4bb,15,3
apa12-0w4,2,1
apa01-2mq,0,0
apa01-2bu,0,0
apa01-3be,0,0
apa06-1aq,1,1
apa04-1ua,9,2
apa02-1mp,6,3
apa10-0w0,0,0
apa05-2w5,0,0
apa03-1uc,0,0
apa08-0aj,2,1
apa03-0pg,3,2
